,title,description
8665,Back-End Software Engineer - Python / AI / ML,"['As a small, remote team, you’ll be empowered to work directly with leadership and the product team to make decisions about your code and the future of the product.', 'Lead the development and optimization of our AI RAG agents. Ensuring seamless integration with OpenAI Chat API through langchain, Qdrant vector store, and Elasticsearch cluster.', ""Design, implement, and maintain robust data processing pipelines that support the chatbot's functionality and performance."", 'Work closely with internal teams to integrate various internal APIs into the chatbot, enhancing its capabilities and user experience.', 'Contribute to the overall system architecture, ensuring scalability, reliability, and performance of the AI chatbot platform.', 'Write clean, efficient, and well-documented code. Implement best practices for testing, code reviews, and version control.', 'Continuously evaluate and improve the chatbot’s performance, staying up-to-date with the latest advancements in AI, machine learning, and natural language processing.', 'Provide technical guidance and mentorship to junior engineers, fostering a culture of collaboration and continuous learning.']"
8666,Python Developer (with Wowza experience),"['Designing, developing, and maintaining scalable backend applications.', 'Implementing and testing solutions based on Python and NodeJS.', 'Designing and implementing efficient, reusable code.', 'Participating in code reviews and continuously improving development processes.', 'Collaborating with DevOps teams on system configuration and updates.', 'Troubleshooting technical issues and integrating with external platforms.']"
8667,Senior GenAI ML Engineer (Python),"[' Tworzenie przyszłości:\xa0Będziesz mieć bezpośredni wpływ na kształtowanie naszych produktów, tworząc rozwiązania AI, które zmienią sposób, w jaki pracujemy.\xa0', ' Eksperymentowanie:\xa0Będziesz miał okazję pracować z najnowszymi modelami i technologiami, takimi jak GPT, Dall-E czy Stable Diffusion, aby znaleźć najlepsze rozwiązania dla naszych wyzwań.\xa0', ' Współpraca z ekspertami:\xa0Dołączysz do zespołu doświadczonych specjalistów z różnych dziedzin AI, z którymi będziesz wspólnie tworzyć innowacyjne projekty.\xa0', ' Rozwój:\xa0Będziesz miał możliwość ciągłego rozwoju swoich umiejętności i śledzenia najnowszych trendów w dziedzinie AI.\xa0']"
8668,Senior GenAI ML Engineer (Python),"[' Tworzenie przyszłości:\xa0Będziesz mieć bezpośredni wpływ na kształtowanie naszych produktów, tworząc rozwiązania AI, które zmienią sposób, w jaki pracujemy.\xa0', ' Eksperymentowanie:\xa0Będziesz miał okazję pracować z najnowszymi modelami i technologiami, takimi jak GPT, Dall-E czy Stable Diffusion, aby znaleźć najlepsze rozwiązania dla naszych wyzwań.\xa0', ' Współpraca z ekspertami:\xa0Dołączysz do zespołu doświadczonych specjalistów z różnych dziedzin AI, z którymi będziesz wspólnie tworzyć innowacyjne projekty.\xa0', ' Rozwój:\xa0Będziesz miał możliwość ciągłego rozwoju swoich umiejętności i śledzenia najnowszych trendów w dziedzinie AI.\xa0']"
8669,Lead Fullstack Developer (Python + React + AWS),"['Prowadzenie rozwoju i projektowania architektury systemów frontendowych i backendowych\xa0', 'Bliska współpraca z zespołami cross-funkcyjnymi w celu dostarczania wysokiej jakości funkcjonalności\xa0', 'Mentoring i prowadzenie junior developerów\xa0', 'Współpraca z inżynierami DevOps w celu wdrażania i utrzymywania aplikacji w AWS\xa0', 'Zapewnienie wysokiej jakości, wydajności i bezpieczeństwa kodu\xa0']"
8670,Senior Python Developer(AZURE/GCP),"['Design, develop, and maintain backend applications using Python frameworks such as FastAPI, Flask, or Django.', 'Create scalable architectures and APIs to meet business requirements.', 'Utilize cloud technologies, particularly Azure (GCP experience is a plus), to deploy and manage applications effectively.', 'Manage containerization and orchestration with Kubernetes.', 'Optimize relational databases for performance and reliability.', 'Use Argo workflows to handle complex development lifecycle processes.', 'Collaborate with DevOps and other teams to maintain efficient CI/CD pipelines.']"
8671,Inżynier/ka Oprogramowania - Python Developer,"['projektowanie i wytwarzanie wydajnego oraz stabilnego oprogramowania;', 'wsparcie realizacji nowych funkcjonalności;', 'tworzenie testów jednostkowych i integracyjnych;', 'naprawa wykrytych błędów;', 'optymalizacja działania systemu oraz wsparcie procesu wytwarzania oprogramowania i diagnozowania problemów;', 'współpraca z zespołami w obrębie CERT Polska oraz NASK PIB;', 'tworzenie dokumentacji technicznej i projektowej.']"
8672,Inżynier/ka Oprogramowania - Python Developer,"['projektowanie i wytwarzanie wydajnego oraz stabilnego oprogramowania;', 'wsparcie realizacji nowych funkcjonalności;', 'tworzenie testów jednostkowych i integracyjnych;', 'naprawa wykrytych błędów;', 'optymalizacja działania systemu oraz wsparcie procesu wytwarzania oprogramowania i diagnozowania problemów;', 'współpraca z zespołami w obrębie CERT Polska oraz NASK PIB;', 'tworzenie dokumentacji technicznej i projektowej.']"
8673,Senior Python Developer (Digital Healthcare),"['Develop a scalable system, including user-friendly web and mobile applications (iOS, Android), with support for voice input and multilingual capabilities.\xa0', 'Integrate the system with payment services, EMR/EHR platforms, and WhatsApp for synchronization and data exchange.\xa0', 'Implement functionality for processing medical documents, generating automated reports, and handling various data formats (JPG, PDF, MP3, and more).\xa0', 'Ensure high levels of data security (including encryption and user authentication) in compliance with HIPAA standards.\xa0', 'Build a system for notifications, medical history analysis, recommendation generation, and voice interaction (input and speech-to-text).\xa0']"
8674,Senior Python Developer (Digital Healthcare),"['Develop a scalable system, including user-friendly web and mobile applications (iOS, Android), with support for voice input and multilingual capabilities.\xa0', 'Integrate the system with payment services, EMR/EHR platforms, and WhatsApp for synchronization and data exchange.\xa0', 'Implement functionality for processing medical documents, generating automated reports, and handling various data formats (JPG, PDF, MP3, and more).\xa0', 'Ensure high levels of data security (including encryption and user authentication) in compliance with HIPAA standards.\xa0', 'Build a system for notifications, medical history analysis, recommendation generation, and voice interaction (input and speech-to-text).\xa0']"
8675,Remote Senior Python Developer,"[""You'll build scalable aplications"", ""You'll develop new functionality for existing software products"", ""You'll create services which are test driven"", ""You'll work with neat technologies: gRPC, Protocol Buffers, Google Cloud,AWS"", ""You'll create API based on API first approach"", ""You'll own your projects so new ideas are welcome""]"
8676,Remote Senior Python Developer,"[""You'll build scalable aplications"", ""You'll develop new functionality for existing software products"", ""You'll create services which are test driven"", ""You'll work with neat technologies: gRPC, Protocol Buffers, Google Cloud,AWS"", ""You'll create API based on API first approach"", ""You'll own your projects so new ideas are welcome""]"
8677,"Senior Python Engineer, (monolith decomposition/domain ownership)","['Participate in the whole development process from backlog refinement and testing to launching product features and technical improvements;', 'Build and maintain application architecture;', 'Actively collaborate with product managers and scrum masters;', 'Follow and contribute to agile development processes (Scrum framework).']"
8678,Trainee Python Developer,[]
8679,Python software developer - remote or on site,"['tworzenie interfejsów aplikacji sieciowych', 'współtworzenie aplikacji opartej na algorytmach detekcji i klasyfikacji obiektów na obrazach, działającej w czasie rzeczywistym', 'utrzymanie aplikacji', 'opracowanie dokumentacji']"
8680,Senior Backend Engineer ,[]
8681,Senior Backend Engineer ,[]
8682,Software Engineer,"['Developing data infrastructure to ingest, sanitize and normalize a broad range of medical data, such as electronic health records, journals, established medical ontologies, crowd-sourced labelling and other human inputs', 'Building performant and expressive interfaces to the data', 'Creating infrastructure to help us not only scale up data ingestion, but large-scale, cloud-based machine learning', 'Working to ensure the stability, security, and performance of Fathom’s platform ', 'Developing dependable internal tools that aid our machine learning and software engineers to be more efficient in everything from infrastructure deployment, to continuous integration and testing', 'Maintaining and configuring internal deployment ', 'Collaborating with our product and engineering teams to identify strategic long-term projects and preempt infrastructure needs in advance ']"
8683,Fullstack Developer,"['Key Responsibilities', 'Build and develop testable business logic for our applications and POCs.', 'Languages used: Python and Typescript.', 'Unit and integration tests using pytest, Jest & Vitest.', 'Build integrations to other systems and databases.', 'Ability to understand complex business domains and design features that solve complex problems in a simple and coherent way.', 'Assisting users with issues, troubleshoot complex interface related errors.', 'Work closely with stakeholders and line of business to understand user requirements and system functionality.', 'Update technical documents, attend team meetings, and actively participate in ideation of innovative solutions.']"
8684,Fullstack Developer,"['Key Responsibilities', 'Build and develop testable business logic for our applications and POCs.', 'Languages used: Python and Typescript.', 'Unit and integration tests using pytest, Jest & Vitest.', 'Build integrations to other systems and databases.', 'Ability to understand complex business domains and design features that solve complex problems in a simple and coherent way.', 'Assisting users with issues, troubleshoot complex interface related errors.', 'Work closely with stakeholders and line of business to understand user requirements and system functionality.', 'Update technical documents, attend team meetings, and actively participate in ideation of innovative solutions.']"
8685,Backend Developer,"['Develop, test, and maintain robust backend applications using Python frameworks like FastAPI, Flask, or Django.', 'Design and implement scalable architectures and APIs to support business needs.', 'Leverage cloud technologies, primarily Azure (experience with GCP is also beneficial), to deploy and manage applications efficiently.', 'Work with Kubernetes for orchestration and container management.', 'Manage and optimize relational databases to ensure high performance and reliability.', 'Utilize Argo workflows for managing complex workflows within the development lifecycle.', 'Collaborate with DevOps and other teams to ensure smooth CI/CD pipelines.']"
8686,Backend Developer,"['Develop, test, and maintain robust backend applications using Python frameworks like FastAPI, Flask, or Django.', 'Design and implement scalable architectures and APIs to support business needs.', 'Leverage cloud technologies, primarily Azure (experience with GCP is also beneficial), to deploy and manage applications efficiently.', 'Work with Kubernetes for orchestration and container management.', 'Manage and optimize relational databases to ensure high performance and reliability.', 'Utilize Argo workflows for managing complex workflows within the development lifecycle.', 'Collaborate with DevOps and other teams to ensure smooth CI/CD pipelines.']"
8687,Lead FullStack Developer,[]
8688,Generative AI Backend Developer (Azure),"['creating and maintaining APIs to enable seamless communication between the chatbot and other applications or services', 'designing, implementing, and managing databases to store user interactions, chatbot responses, and other essential data', 'collaborating with AI developers to integrate LLM models into the backend, ensuring fast and efficient processing of user queries', 'ensuring backend systems are optimized for performance and scalability, supporting increasing numbers of users without degradation', 'implementing robust security measures to protect user data and ensure secure communication between systems', 'setting up logging and monitoring to track performance, health, and quickly resolve issues in backend systems', 'troubleshooting and resolving issues to ensure smooth operation of the chatbot backend', 'designing backend solutions to support high-availability systems', 'collaborating with front-end developers, AI architects, and other team members to ensure seamless integration and operation', 'documenting backend processes, APIs, and relevant information for team reference and collaboration.']"
8689,Generative AI Backend Developer (Azure),"['creating and maintaining APIs to enable seamless communication between the chatbot and other applications or services', 'designing, implementing, and managing databases to store user interactions, chatbot responses, and other essential data', 'collaborating with AI developers to integrate LLM models into the backend, ensuring fast and efficient processing of user queries', 'ensuring backend systems are optimized for performance and scalability, supporting increasing numbers of users without degradation', 'implementing robust security measures to protect user data and ensure secure communication between systems', 'setting up logging and monitoring to track performance, health, and quickly resolve issues in backend systems', 'troubleshooting and resolving issues to ensure smooth operation of the chatbot backend', 'designing backend solutions to support high-availability systems', 'collaborating with front-end developers, AI architects, and other team members to ensure seamless integration and operation', 'documenting backend processes, APIs, and relevant information for team reference and collaboration.']"
8690,Senior Backend Engineer,"['Build scalable backend infrastructure using Python and Flask/FastAPI', 'Participate in designing customer-facing features and interact with clients', 'Implement, test, and document business logic', 'Enhance existing code by improving test coverage and code abstractions', 'Ensure observability and monitoring of systems', 'Partner with frontend team, product managers, designers to deeply understand the needs of our users']"
8691,Lead Software Engineering,"['Ensure collaboration of Development Team Leads and maintain processes that support people-focused projects, such as growth paths, career models, onboarding, talent selection, feedback/assessment criteria, etc.', 'Ensure well-informed Development Team Leads by facilitating information flow between them and the company.', 'Provide coaching and mentoring for Development Team Leads.', 'Ensure high employee satisfaction through regular feedback and addressing/solving individual problems.', 'Ensure the best team members through talent selection and accompanying personal growth in line with a transparent career path.', 'Assure smooth delivery of the product roadmap by talents and skillset selection, and allocation to teams.', 'Ensure efficient and performing teams through an objective set of KPIs and guidance for Development Team Leads.', 'Support execution of short-term technical plans by ensuring that Development Teams stick to the plan.', 'Provide input on technical obstacles that slow Development Teams down.', 'Keep product roadmap execution and its investment appetite in sync.', 'Foster the agile mindset of continuously delivering value to MyTherapy users.']"
8692,Senior Software Engineer,"['rozwijanie systemu do efektywnego rozproszenia obliczeń polegających na przetwarzaniu zdjęć satelitarnych (projekty dla Europejskiej Agencji Kosmicznej),', 'praca nad backendem obsługującym duże ilości danych,', 'rozwijanie systemu przetwarzającego zdarzenia bilingowe,', 'dodawanie nowych funkcji do aplikacji oraz ulepszenia techniczne, takie jak refaktoryzacja lub zwiększenie zasięgu testów.']"
8693,Remote Senior Software Developer,
8694,AI/Full-Stack Developer,
8695,AI/Full-Stack Developer,
8696,Core Backend Developer,"['    Design and implement robust, scalable REST APIs to support our platform’s requirements. \t', '\tAnalyze and optimize backend performance, addressing scaling issues and improving parallel processing. \t', '\tDeep dive into monitoring resource usage, optimizing CPU, memory, and storage efficiency. \t', '\tContribute to upcoming tasks involving the integration of distributed file systems and S3 storage. \t', '\tExpand backend capabilities for new data analysis jobs and AI algorithm integration.']"
8697,Mid/Senior Network Engineer with Python - Remote ,"['Creating test strategies & test plans for various networking solutions', 'Designing and implementing tests for new & existing features in close collaboration with the development team', 'Maintaining and improving an automated CI/CD environment', 'Designing and automating new environment configurations to extend existing testbed capabilities', 'Working with client’s architects to ensure that your validation methods meet their expectations']"
8698,Data Scientist (Python + GenAI),"['Design and implement innovative AI and machine learning solutions for both internal and clients projects.', 'Develop and validate intelligent assistants utilizing cutting-edge large language models such as GPT-4, Falcon 2, LLAMA 3, and Mixtral, incorporating Retrieval Augmented Generation (RAG) techniques and leveraging frameworks like Langraph and CrewAI.', 'Provide expert guidance on technical strategies and solution architectures to address complex business challenges using AI.', 'Simplify and present intricate technical concepts in a clear and actionable manner for both technical and non-technical stakeholders.', 'Collect, preprocess, and analyze extensive datasets for training machine learning models.', 'Contribute to documentation efforts and share industry best practices to enhance project outcomes.']"
8699,Data Scientist (Python + GenAI),"['Design and implement innovative AI and machine learning solutions for both internal and clients projects.', 'Develop and validate intelligent assistants utilizing cutting-edge large language models such as GPT-4, Falcon 2, LLAMA 3, and Mixtral, incorporating Retrieval Augmented Generation (RAG) techniques and leveraging frameworks like Langraph and CrewAI.', 'Provide expert guidance on technical strategies and solution architectures to address complex business challenges using AI.', 'Simplify and present intricate technical concepts in a clear and actionable manner for both technical and non-technical stakeholders.', 'Collect, preprocess, and analyze extensive datasets for training machine learning models.', 'Contribute to documentation efforts and share industry best practices to enhance project outcomes.']"
8700,QA Automation Team Leader with Python Expertise,"['Own the Quality Assurance Process: Take full ownership of quality assurance, ensuring all products adhere to the highest standards before release.', 'Quality Gatekeeper: Oversee the quality of deliverables, acting as a final quality gate and driving adherence to standards throughout the development lifecycle.', 'Leadership and Mentorship: Lead and mentor a team of talented QA engineers, providing guidance in automation testing and promoting industry best practices.', 'Cross-Functional Collaboration: Work with R&D and product management teams to ensure comprehensive testing of new features, system integrations, and performance requirements.', 'Comprehensive Test Planning: Develop and implement detailed test plans covering functional, end-user, stress, performance, and regression testing.', 'Hands-on Testing Oversight: Oversee and execute tests throughout the development lifecycle, from development to pre-release and release.']"
8701,QA Automation Team Leader with Python Expertise,"['Own the Quality Assurance Process: Take full ownership of quality assurance, ensuring all products adhere to the highest standards before release.', 'Quality Gatekeeper: Oversee the quality of deliverables, acting as a final quality gate and driving adherence to standards throughout the development lifecycle.', 'Leadership and Mentorship: Lead and mentor a team of talented QA engineers, providing guidance in automation testing and promoting industry best practices.', 'Cross-Functional Collaboration: Work with R&D and product management teams to ensure comprehensive testing of new features, system integrations, and performance requirements.', 'Comprehensive Test Planning: Develop and implement detailed test plans covering functional, end-user, stress, performance, and regression testing.', 'Hands-on Testing Oversight: Oversee and execute tests throughout the development lifecycle, from development to pre-release and release.']"
8702, Automation Tech Lead (Python),"['Define and implement test strategies specifically tailored to system-level backend environments, ensuring thorough testing of operational automation (e.g., updates, downgrades, backups) and hardware management software.', 'Lead the development of automated test frameworks for backend systems managing hardware, DSP, and AI units, ensuring robust and scalable solutions.', 'Manage a small QA team while providing hands-on contributions in backend testing and automation.', 'Collaborate with cross-functional teams to ensure comprehensive test coverage of complex hardware-software interactions, focusing on backend processes and operational configurations.', 'Conduct detailed testing of configuration management, system integration, and monitoring tools across platforms like DSP and AI servers.', 'Drive operational automation testing, ensuring system updates, backups, and disaster recovery processes are reliably tested.']"
8703,Senior Firewall Engineer with Python,"['Conversion and migration of firewall configuration into the Customer’s security platform', 'Analysis of the Customer’s network environment and creating migration workflow per each use case', 'Working with the Customer to deliver a working solution and ensuring a successful deployment to their production environment', 'Collaborating with the Development team to improve the existing automation framework']"
8704,Python Test Developer with DevOps,"['Write new tests in Python', 'Develop a testing framework', 'Create CI/CD pipelines', 'Take care of aspects related to virtualization', 'Be responsible for Linux/Windows server support', 'Handle data migration', 'Maintain different development environments']"
8705,Automation Tester/QA (Python),"['Projektowanie, tworzenie i utrzymanie testów automatycznych usług oraz procesów BPMS', 'Projektowanie i tworzenie narzędzi/procesów wspierających automatyzację testów', 'Wsparcie w instalacji i konfiguracji narzędzi do automatyzacji testów', 'Tworzenie i utrzymywanie dokumentacji do zaprojektowanych rozwiązań', 'Zarządzanie środowiskami do testów automatycznych']"
8706,QA Automation Engineer with Python,"['As a part of the project team, you will be responsible for:', 'Developing test automation using Python and Selenium,', 'Contributing to TestRail to document test scenarios,', 'Ensuring components you are responsible for are well-covered by automated tests,', 'Being proactive and motivated to deliver high-quality work,', 'Communicating and collaborating effectively with other developers,', 'Conducting code reviews for pull requests (PRs) raised by team members,', 'Maintaining project documentation in Confluence.']"
8707,Senior Firewall Engineer with Check Point and Python,"['Conversion and migration of firewall configuration into the Customer’s security platform', 'Analysis of the Customer’s network environment and creating migration workflow per each use case', 'Working with the Customer to deliver a working solution and ensuring a successful deployment to their production environment', 'Collaborating with the Development team to improve the existing automation framework']"
8708,Tech Lead for Python Test Automation Developers,"['Opracowywanie strategii automatyzacji testów zgodnej z celami biznesowymi i technologicznymi organizacji;', 'Wybór odpowiednich narzędzi, frameworków i technologii do automatyzacji testów;', 'Projektowanie i rozwój zaawansowanych frameworków testowych zapewniających skalowalność i łatwość utrzymania;', 'Nadzór nad jakością kodu i standardami. Dbanie o jakość kodu tworzonego przez zespół i organizację. Wdrażanie najlepszych praktyk programistycznych w zakresie automatyzacji testów;', 'Wsparcie w rozwiązywaniu najbardziej złożonych problemów technicznych, z którymi mierzy się zespół;', ""Usprawnianie integracji testów automatycznych z pipeline'ami CI/CD;"", 'Śledzenie nowości w dziedzinie automatyzacji testów oraz wprowadzanie nowych technologii i narzędzi;', 'Zarządzanie 11 osobowym zespołem, planowanie jego pracy i rozwój;', 'Monitorowanie wyników zespołu i wdrażanie działań usprawniających;', 'Zarządzanie budżetem i zasobami.']"
8709,Senior Power BI Engineer with Python skills,"['Design, develop, and maintain optimized business intelligence solutions with a focus on performance', 'Present information through high-performance reports and complex visualizations tailored to business needs', 'Translate business requirements into advanced technical specifications and scalable data models', 'Design, build, and deploy BI solutions with a focus on efficiency and scalability for large datasets', 'Maintain and support data analytics platforms, ensuring optimized query performance', 'Assist QA Engineers with testing, troubleshooting, and performance tuning of BI solutions', 'Evaluate and improve existing BI solutions for performance, reusability, and scalability', 'Conduct analyses with a strong focus on query optimization and data efficiency', 'Create technical documentation to support scalable Power BI solutions', 'Work with complex Power BI datasets, ensuring robust performance and scalability for large data volumes']"
